"time_spent_at_DM_booth","time_spent_at_DR_OM_booth","total_time_spent_at_show","percent_buying_from_DM_past","historical_sales_index","sales_frequency","length_of_relationship","number_of_referrals_offered","importance_of_image_quality","importance_of_diagnostic_flexibility","importance_of_software_intergation","importance_of_technical_assistance","importance_of_price","trust_in_tv_ads","trust_in_radio_ads","trust_in_internet_ads","trust_in_dental_magazine_ads","trust_in_peers"
45,27,130,101,58,6,8,12,7,7,5,6,5,"5","4","4","7",6
12,22,150,32,22,3,4,1,5,5,5,6,6,"4","5","4","5",6
36,78,180,46,64,5,9,2,6,6,6,6,6,"4","4","6","6",7
11,21,150,33,21,3,4,1,5,5,5,6,7,"4","5","4","5",5
45,25,130,100,58,6,8,12,7,7,4,6,4,"5","4","3","6",6
12,21,151,32,20,3,4,0,5,5,5,6,7,"5","5","4","6",5
12,20,149,32,21,3,4,1,5,5,5,6,7,"5","4","4","6",6
6,11,60,6,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","6",6
12,20,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",5
45,26,129,100,58,6,8,12,7,6,4,6,4,"5","4","4","7",6
12,21,151,32,21,3,4,1,5,5,5,7,7,"4","4","4","5",6
6,11,60,7,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,0,5,5,5,6,7,"4","5","4","6",6
5,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
5,11,61,5,8,1,8,0,4,4,4,7,7,"4","4","3","4",6
37,77,180,46,65,5,9,2,6,5,6,6,6,"4","4","6","6",7
36,78,179,45,64,5,9,2,6,5,7,6,6,"4","5","6","6",7
36,78,180,46,64,5,9,2,6,6,6,6,6,"4","4","6","6",7
6,11,60,5,10,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
44,26,131,100,58,6,8,12,7,7,4,5,4,"5","4","4","7",6
35,78,180,45,64,4,9,2,6,5,6,6,6,"4","4","6","6",7
12,21,150,32,20,3,5,0,5,5,5,6,7,"4","4","4","6",6
